City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,Humaita,BR,78.93,scattered clouds,-7.51,-63.02,Corrêa Hotel
142,Valle Hermoso,MX,84.2,broken clouds,25.67,-97.83,MAQUINARIA Y TRANSPORTE DE CARGA
145,Puerto Carreno,CO,86.0,scattered clouds,6.19,-67.49,Casa Hotel Victoria
149,San Cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
154,Bubaque,GW,82.09,overcast clouds,11.28,-15.83,Casa Dora
161,Tharad,IN,86.47,clear sky,24.4,71.63,Shree Nandan Couriyar Service
166,Cape Girardeau,US,89.6,clear sky,37.31,-89.52,Town House Inn Cape Girardeau
167,Le Vauclin,MQ,81.0,broken clouds,14.55,-60.84,Hôtel Cap Macabou
168,Bien Hoa,VN,78.8,light rain,10.95,106.82,OYO 991 Duy Anh Hotel
171,San Patricio,MX,86.0,few clouds,19.22,-104.7,Hotel Cabo Blanco
173,Estelle,US,89.01,scattered clouds,29.85,-90.11,Comfort Inn Marrero - New Orleans West
174,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
177,Carutapera,BR,76.32,broken clouds,-1.2,-46.02,Lidera
181,Baculin,PH,83.64,light rain,7.45,126.58,Shovy's Cove
182,Kokoda,PG,84.61,scattered clouds,-8.88,147.74,Daito Guest House
183,Morgan City,US,86.0,broken clouds,29.7,-91.21,Hampton Inn & Suites Morgan City
184,San Diego De Los Banos,CU,80.89,overcast clouds,22.65,-83.37,Casa Nalúa - Nalúa Enea
186,Chokurdakh,RU,88.84,few clouds,70.63,147.92,
188,Shimoda,JP,75.0,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
192,Mujiayingzi,CN,78.8,clear sky,42.12,118.78,Jinjiang Hotel
194,Bairiki,KI,87.8,few clouds,1.33,172.98,Tarawa Boutique Hotel
195,Show Low,US,82.4,clear sky,34.25,-110.03,Hampton Inn & Suites Show Low-Pinetop
198,Victoria,HK,84.99,overcast clouds,22.29,114.16,Mini Hotel Central
200,Bull Savanna,JM,81.32,clear sky,17.89,-77.59,Big Red's
201,Dispur,IN,78.13,moderate rain,26.14,91.79,OYO 5332 Hotel Parnil Palace 1 Guwahati
205,Ambon,ID,77.0,light rain,-3.7,128.18,Swiss-Belhotel Ambon
209,Odlabari,IN,78.8,mist,26.83,88.62,Radha Madhav Mistanna Bhandar
212,Verkhoyansk,RU,86.61,clear sky,67.54,133.38,
