City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
292,Saint-Paul-Les-Dax,FR,43.73,-1.05,63.0,82,2,2.24,clear sky,0,0
293,Nurota,UZ,40.56,65.69,62.6,25,0,4.7,clear sky,0,0
294,Maniitsoq,GL,65.42,-52.9,37.33,89,100,17.65,overcast clouds,0,0
295,Tuatapere,NZ,-46.13,167.68,39.0,83,90,3.0,overcast clouds,0,0
296,Dingle,PH,11.0,122.67,82.51,71,58,5.26,broken clouds,0,0
297,Campo Gobierno,MX,24.65,-107.54,95.0,39,40,14.99,scattered clouds,0,0
298,Campbell River,CA,50.02,-125.24,63.0,93,90,0.58,light intensity shower rain,0,0
299,Bereda,ES,43.27,-7.54,63.0,82,75,3.36,broken clouds,0,0
300,Andapa,MG,-14.65,49.65,65.52,91,100,3.11,moderate rain,0,0
301,Dawei,MM,14.08,98.2,76.82,83,96,1.28,overcast clouds,0,0
302,Belmonte,BR,-15.86,-38.88,77.0,78,40,9.17,scattered clouds,0,0
303,Sochi,RU,43.6,39.73,68.0,88,90,8.95,overcast clouds,0,0
304,Vargashi,RU,55.36,65.85,44.55,68,63,7.07,broken clouds,0,0
305,Taoudenni,ML,22.68,-3.98,97.25,17,41,2.59,scattered clouds,0,0
306,Hofn,IS,64.25,-15.21,51.69,82,86,14.23,light rain,0,0
307,Batagay-Alyta,RU,67.8,130.41,77.43,26,54,3.0,broken clouds,0,0
308,San Carlos De Bariloche,AR,-41.15,-71.31,35.6,93,75,13.87,moderate rain,0,0
309,Northam,GB,51.03,-4.22,57.0,93,97,3.0,overcast clouds,0,0
310,Nome,US,64.5,-165.41,69.01,55,75,3.36,thunderstorm,0,0
311,Savannah Bight,HN,16.45,-85.85,83.07,78,54,25.46,broken clouds,0,0
312,Sao Filipe,CV,14.9,-24.5,76.57,76,16,7.9,few clouds,0,0
313,Palamos,ES,41.85,3.13,66.0,51,23,4.92,light rain,0,0
314,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.18,90,63,13.06,broken clouds,0,0
315,Kuito,AO,-12.38,16.93,49.24,55,0,3.11,clear sky,0,0
316,Cockburn Town,TC,21.46,-71.14,82.83,81,16,19.04,few clouds,0,0
317,Lai,TD,9.4,16.3,76.53,84,94,3.78,overcast clouds,0,0
318,Turinsk,RU,58.05,63.7,50.34,63,99,8.46,overcast clouds,0,0
319,Lerwick,GB,60.15,-1.15,53.6,100,70,4.7,fog,0,0
320,Wajima,JP,37.4,136.9,64.4,77,75,5.82,broken clouds,0,0
321,Shiyan,CN,32.65,110.78,69.89,84,100,1.01,overcast clouds,0,0
322,Ierissos,GR,40.4,23.88,68.0,72,44,3.0,scattered clouds,0,0
323,Banda Aceh,ID,5.56,95.32,80.55,74,99,8.1,overcast clouds,0,0
324,General Roca,AR,-39.03,-67.58,53.6,46,33,6.93,scattered clouds,0,0
325,Dustlik,UZ,40.52,68.04,66.42,26,0,2.04,clear sky,0,0
326,Bathsheba,BB,13.22,-59.52,77.0,88,40,28.86,shower rain,0,0
327,Kalmunai,LK,7.42,81.82,81.45,74,99,4.03,overcast clouds,0,0
