City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Svetlogorsk,BY,2020-06-17 00:11:28,52.63,29.73,63.16,95,0,7.05
284,Carberry,CA,2020-06-17 00:11:28,49.87,-99.36,78.8,44,90,24.16
285,Vila Velha,BR,2020-06-17 00:11:29,-20.33,-40.29,69.8,83,90,4.7
286,Ler,SS,2020-06-17 00:11:29,8.3,30.14,76.91,72,99,5.28
287,Carballo,ES,2020-06-17 00:11:29,43.21,-8.69,59.0,90,42,2.46
288,Pandan,PH,2020-06-17 00:11:30,14.05,124.17,83.48,70,75,4.21
289,Mayo,US,2020-06-17 00:11:30,38.89,-76.51,72.0,49,75,10.29
290,Wad Madani,SD,2020-06-17 00:11:30,14.4,33.52,85.48,50,96,19.98
291,Kavaratti,IN,2020-06-17 00:11:31,10.57,72.64,84.42,78,100,21.72
292,Salalah,OM,2020-06-17 00:11:31,17.02,54.09,84.2,89,40,4.7
293,Constitucion,CL,2020-06-17 00:11:31,-35.33,-72.42,54.91,93,100,8.3
294,Camopi,GF,2020-06-17 00:11:32,3.17,-52.32,74.61,97,100,2.28
295,Djougou,BJ,2020-06-17 00:11:32,9.71,1.67,72.64,85,100,4.88
296,Sangar,RU,2020-06-17 00:11:32,63.92,127.47,67.93,53,59,11.41
297,Murmashi,RU,2020-06-17 00:11:32,68.82,32.81,37.4,93,55,1.86
298,Tomatlan,MX,2020-06-17 00:11:32,19.93,-105.25,86.4,50,10,6.26
299,Pacific Grove,US,2020-06-17 00:07:00,36.62,-121.92,64.4,55,1,11.41
300,Bykov,RU,2020-06-17 00:11:33,47.32,142.55,50.0,81,75,22.37
301,Iguatu,BR,2020-06-17 00:09:45,-6.36,-39.3,72.03,88,11,6.73
302,Puerto Madryn,AR,2020-06-17 00:11:33,-42.77,-65.04,54.46,43,54,6.76
303,Vestmannaeyjar,IS,2020-06-17 00:11:33,63.44,-20.27,47.03,81,43,8.7
304,Faranah,GN,2020-06-17 00:11:33,10.04,-10.74,73.29,95,92,5.41
